TestType,TestName,ConfigurationFile,BasicTestConfiguration,Mode
SmartCtvDc,XOVERLUT_DDR_SMARTCTV_K_SDTEND_TAP_FIXDIG_MIN_F1_RATIO1_VTXOVER3,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\XOVER\\Ddr1ch4g_XoverLut_Sort.smart.json""",6803,"""Basic"""
SmartCtvDc,XOVERLUT_DDR_SMARTCTV_K_SDTEND_TAP_FIXDIG_MIN_F1_RATIO1_VTXOVER4,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\XOVER\\Ddr1ch4g_XoverLut_Sort.smart.json""",6804,"""Basic"""
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_PREHVQK_TAP_FIXDIG_MIN_LFM_RATIO_CHANGE_ACIOLB,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MIN_HFM_MCR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_MCR.smart.json""",,"""CtvTag"""
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_DDR.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_PREHVQK_TAP_FIXDIG_MIN_HFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration.smart.json""",,"""CtvTag"""
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_PREHVQK_TAP_FIXDIG_X_X_RATIO1_CHANGE_ACIOLB_MCR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_SDTEND_TAP_FIXDIG_X_X_RATIO_CHANGE_DDR_ACIOLB,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_SDTEND_TAP_FIXDIG_MIN_HFM_MCR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_MCR.smart.json""",,"""CtvTag"""
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_SDTEND_TAP_FIXDIG_MAX_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_DDR.smart.json""",,"""CtvTag"""
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_SDTEND_TAP_FIXDIG_X_X_RATIO_CHANGE_MCR_ACIOLB,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
SmartCtvDc,VOX_CLK_SMARTCTVDC_K_SDTEND_TAP_X_MAX_F1_RATIO1_RONUP,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\CLK_DC_MEASUREMENTS.smart.json""",1300,"""Basic"""
SmartCtvDc,VOX_CLK_SMARTCTVDC_K_SDTEND_TAP_X_MAX_F1_RATIO1_RONDN,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PARAMETRIC\\SORT\\CLK_DC_MEASUREMENTS.smart.json""",1300,"""Basic"""
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_SDTEND_TAP_FIXDIG_X_X_RATIO_CHANGE_DDR_6400,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_END_TAP_FIXDIG_X_X_RATIO_CHANGE_DDR_6400,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
SmartCtvDc,VOX_CLK_SMARTCTVDC_K_END_TAP_X_MAX_F1_RATIO1_RONUP,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\CLK_DC_MEASUREMENTS.smart.json""",1300,"""Basic"""
SmartCtvDc,VOX_CLK_SMARTCTVDC_K_END_TAP_X_MAX_F1_RATIO1_RONDN,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PARAMETRIC\\SORT\\CLK_DC_MEASUREMENTS.smart.json""",1300,"""Basic"""
PrimePatConfigTestMethod,CTRL_DDR_PATMOD_E_PREHVQK_X_X_X_X_ANALOG_TUNNING,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\FUSE_FILES\\ANALOG_TUNNING_SORT_NO_IDV.SetPoints.json""",,
PrimePatConfigTestMethod,CTRL_X_SCREEN_E_POSTHVQK_X_X_X_X_RATIO_CHANGE_DDR_ACIOLB,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_POSTHVQK_TAP_FIXDIG_MAX_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_DDR.smart.json""",,"""CtvTag"""
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_POSTHVQK_TAP_FIXDIG_MIN_HFM_MCR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_MCR.smart.json""",,"""CtvTag"""
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_POSTHVQK_TAP_FIXDIG_X_X_RATIO_CHANGE_MCR_ACIOLB,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_SDTEND_TAP_FIXDIG_X_X_RATIO_CHANGE_DDR_PARAMETRIC,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_END_TAP_FIXDIG_X_X_RATIO_CHANGE_DDR_PARAMETRIC,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_END_TAP_FIXDIG_X_F1_RATIO1_CHANGE_DV,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_END_TAP_FIXDIG_X_F1_RATIO2_CHANGE_DV,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
PrimeIpoTestMethod,DV_X_IPO_E_END_TAP_FIXDIG_MIN_F1_DATA_ED_FULL_SPF_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\IPO\\Ddr1chg4_Data_VREF_IPO.json""",,
SmartCtvDc,ACIOLB_DDR_SMARTCTV_E_END_TAP_FIXDIG_MIN_F1_DATA_ED_FULL_SPF_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ED\\Ddr1ch4g_ED_Reads.smart.json""",6830,"""Basic"""
PrimeIpoTestMethod,DV_X_IPO_E_END_TAP_FIXDIG_MIN_F1_CC_ED_FULL_SPF_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\IPO\\Ddr1chg4_Cmdctl_VREF_IPO.json""",,
SmartCtvDc,ACIOLB_DDR_SMARTCTV_E_END_TAP_FIXDIG_MIN_F1_CC_ED_FULL_SPF_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ED\\Ddr1ch4g_ED_Reads.smart.json""",6831,"""Basic"""
PrimeIpoTestMethod,DV_X_IPO_E_END_TAP_FIXDIG_MIN_F1_CLK_ED_FULL_SPF_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\IPO\\Ddr1chg4_Clk_VREF_IPO.json""",,
SmartCtvDc,ACIOLB_DDR_SMARTCTV_E_END_TAP_FIXDIG_MIN_F1_CLK_ED_FULL_SPF_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ED\\Ddr1ch4g_ED_Reads.smart.json""",6832,"""Basic"""
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_END_TAP_FIXDIG_X_F1_HWFSM_PARAMETERS_ED_FULL_SPF_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\HWFSM4ED.SetPoints.json""",,
PrimeIpoTestMethod,DV_X_IPO_E_END_TAP_FIXDIG_MIN_F1_DATA_ED_HYBRID_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\IPO\\Ddr1chg4_Data_VREF_IPO.json""",,
SmartCtvDc,ACIOLB_DDR_SMARTCTV_E_END_TAP_FIXDIG_MIN_F1_DATA_ED_HYBRID_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ED\\Ddr1ch4g_ED_Reads.smart.json""",6830,"""Basic"""
PrimeIpoTestMethod,DV_X_IPO_E_END_TAP_FIXDIG_MIN_F1_CC_ED_HYBRID_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\IPO\\Ddr1chg4_Cmdctl_VREF_IPO.json""",,
SmartCtvDc,ACIOLB_DDR_SMARTCTV_E_END_TAP_FIXDIG_MIN_F1_CC_ED_HYBRID_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ED\\Ddr1ch4g_ED_Reads.smart.json""",6831,"""Basic"""
PrimeIpoTestMethod,DV_X_IPO_E_END_TAP_FIXDIG_MIN_F1_CLK_ED_HYBRID_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\IPO\\Ddr1chg4_Clk_VREF_IPO.json""",,
SmartCtvDc,ACIOLB_DDR_SMARTCTV_E_END_TAP_FIXDIG_MIN_F1_CLK_ED_HYBRID_RATIO1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ED\\Ddr1ch4g_ED_Reads.smart.json""",6832,"""Basic"""
