Index,MC,Sensor,Type,Step,Parameter,SubCh,Partition,FieldName,Register,Field,Name
28,M0,ANA,DATA,0,SVTPGM,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_SVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
29,M0,ANA,CC,0,SVTPGM,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_SVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
30,M0,ANA,CLK,0,SVTPGM,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_SVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
31,M0,ANA,COMP,0,SVTPGM,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_SVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
32,M0,ANA,DATA,0,HVTPGM,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_HVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
33,M0,ANA,CC,0,HVTPGM,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_HVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
34,M0,ANA,CLK,0,HVTPGM,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_HVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
35,M0,ANA,COMP,0,HVTPGM,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_HVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
36,M0,ANA,DATA,0,ULVTNROUT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_ULVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
37,M0,ANA,CC,0,ULVTNROUT,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_ULVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
38,M0,ANA,CLK,0,ULVTNROUT,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_ULVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
39,M0,ANA,COMP,0,ULVTNROUT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_ULVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
40,M0,ANA,DATA,0,LVTNROUT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_LVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
41,M0,ANA,CC,0,LVTNROUT,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_LVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
42,M0,ANA,CLK,0,LVTNROUT,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_LVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
43,M0,ANA,COMP,0,LVTNROUT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_LVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
44,M0,ANA,DATA,0,SVTNROUT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_SVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
45,M0,ANA,CC,0,SVTNROUT,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_SVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
46,M0,ANA,CLK,0,SVTNROUT,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_SVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
47,M0,ANA,COMP,0,SVTNROUT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_SVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
48,M0,ANA,DATA,0,HVTNROUT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_HVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
49,M0,ANA,CC,0,HVTNROUT,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_HVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
50,M0,ANA,CLK,0,HVTNROUT,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_HVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
51,M0,ANA,COMP,0,HVTNROUT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_HVTNROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
52,M0,ANA,DATA,0,ULVTPROUT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_ULVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
53,M0,ANA,CC,0,ULVTPROUT,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_ULVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
54,M0,ANA,CLK,0,ULVTPROUT,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_ULVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
55,M0,ANA,COMP,0,ULVTPROUT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_ULVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
56,M0,ANA,DATA,0,LVTPROUT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_LVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
57,M0,ANA,CC,0,LVTPROUT,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_LVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
58,M0,ANA,CLK,0,LVTPROUT,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_LVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
59,M0,ANA,COMP,0,LVTPROUT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_LVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
60,M0,ANA,DATA,0,SVTPROUT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_SVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
61,M0,ANA,CC,0,SVTPROUT,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_SVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
62,M0,ANA,CLK,0,SVTPROUT,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_SVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
63,M0,ANA,COMP,0,SVTPROUT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_SVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
64,M0,ANA,DATA,0,HVTPROUT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_HVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
65,M0,ANA,CC,0,HVTPROUT,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_HVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
66,M0,ANA,CLK,0,HVTPROUT,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_HVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
67,M0,ANA,COMP,0,HVTPROUT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_HVTPROUT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
68,M0,ANA,DATA,x,SVTNVT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_x_DATA_SVTNVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
69,M0,ANA,CC,x,SVTNVT,A,x,adcout,ddrcc_dll_csr,M0_A_x_x_CC_SVTNVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
70,M0,ANA,CLK,x,SVTNVT,x,x,adcout,ddrclk_dll_csr,M0_x_x_x_CLK_SVTNVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
71,M0,ANA,COMP,x,SVTNVT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_x_COMP_SVTNVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
72,M0,ANA,DATA,x,LVTPVT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_x_DATA_LVTPVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
73,M0,ANA,CC,x,LVTPVT,A,x,adcout,ddrcc_dll_csr,M0_A_x_x_CC_LVTPVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
74,M0,ANA,CLK,x,LVTPVT,x,x,adcout,ddrclk_dll_csr,M0_x_x_x_CLK_LVTPVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
75,M0,ANA,COMP,x,LVTPVT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_x_COMP_LVTPVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
76,M0,ANA,DATA,x,SVTPVT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_x_DATA_SVTPVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
77,M0,ANA,CC,x,SVTPVT,A,x,adcout,ddrcc_dll_csr,M0_A_x_x_CC_SVTPVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
78,M0,ANA,CLK,x,SVTPVT,x,x,adcout,ddrclk_dll_csr,M0_x_x_x_CLK_SVTPVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
79,M0,ANA,COMP,x,SVTPVT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_x_COMP_SVTPVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
80,M0,ANA,DATA,x,NBIAS,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_x_DATA_NBIAS,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
81,M0,ANA,CC,x,NBIAS,A,x,adcout,ddrcc_dll_csr,M0_A_x_x_CC_NBIAS,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
82,M0,ANA,CLK,x,NBIAS,x,x,adcout,ddrclk_dll_csr,M0_x_x_x_CLK_NBIAS,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
83,M0,ANA,COMP,x,NBIAS,x,x,adcout,ddrcomp_adc_csr,M0_x_x_x_COMP_NBIAS,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
84,M0,ANA,DATA,x,VCC_PBIAS,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_x_DATA_VCC_PBIAS,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
85,M0,ANA,CC,x,VCC_PBIAS,A,x,adcout,ddrcc_dll_csr,M0_A_x_x_CC_VCC_PBIAS,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
86,M0,ANA,CLK,x,VCC_PBIAS,x,x,adcout,ddrclk_dll_csr,M0_x_x_x_CLK_VCC_PBIAS,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
87,M0,ANA,COMP,x,VCC_PBIAS,x,x,adcout,ddrcomp_adc_csr,M0_x_x_x_COMP_VCC_PBIAS,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
88,M0,ANA,DATA,x,VCC,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_x_DATA_VCC,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
89,M0,ANA,CC,x,VCC,A,x,adcout,ddrcc_dll_csr,M0_A_x_x_CC_VCC,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
90,M0,ANA,CLK,x,VCC,x,x,adcout,ddrclk_dll_csr,M0_x_x_x_CLK_VCC,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
91,M0,ANA,COMP,x,VCC,x,x,adcout,ddrcomp_adc_csr,M0_x_x_x_COMP_VCC,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
92,M0,ANA,DATA,x,VSS,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_x_DATA_VSS,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
93,M0,ANA,CC,x,VSS,A,x,adcout,ddrcc_dll_csr,M0_A_x_x_CC_VSS,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
94,M0,ANA,CLK,x,VSS,x,x,adcout,ddrclk_dll_csr,M0_x_x_x_CLK_VSS,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
