Index,MC,TYPE,SubChannel,Partition,Nibble,Bit,Offset,FieldName,Register,Field,Name,Name_Index,combined_string
10,M1,COMP,x,x,x,x,x,RdacSumVoutcm,ddrcomp_rxRdac_ctl1,M1_x_x_x_x_x_RdacSumVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_10,&---M1---COMP---x---x---x---x---x---RdacSumVoutcm---ddrcomp_rxRdac_ctl1---M1_x_x_x_x_x_RdacSumVoutcm
11,M1,COMP,x,x,x,x,x,SumOffsetTune,ddrcomp_rxSum_ctl1,M1_x_x_x_x_x_SumOffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_11,&---M1---COMP---x---x---x---x---x---SumOffsetTune---ddrcomp_rxSum_ctl1---M1_x_x_x_x_x_SumOffsetTune
12,M1,COMP,x,x,x,x,x,SamplerP0Offset,ddrcomp_SamplerOffset0,M1_x_x_x_x_x_SamplerP0Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_12,&---M1---COMP---x---x---x---x---x---SamplerP0Offset---ddrcomp_SamplerOffset0---M1_x_x_x_x_x_SamplerP0Offset
13,M1,COMP,x,x,x,x,x,SamplerP1Offset,ddrcomp_SamplerOffset0,M1_x_x_x_x_x_SamplerP1Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_13,&---M1---COMP---x---x---x---x---x---SamplerP1Offset---ddrcomp_SamplerOffset0---M1_x_x_x_x_x_SamplerP1Offset
14,M1,COMP,x,x,x,x,x,SamplerP2Offset,ddrcomp_SamplerOffset1,M1_x_x_x_x_x_SamplerP2Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_14,&---M1---COMP---x---x---x---x---x---SamplerP2Offset---ddrcomp_SamplerOffset1---M1_x_x_x_x_x_SamplerP2Offset
15,M1,COMP,x,x,x,x,x,SamplerP3Offset,ddrcomp_SamplerOffset1,M1_x_x_x_x_x_SamplerP3Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_15,&---M1---COMP---x---x---x---x---x---SamplerP3Offset---ddrcomp_SamplerOffset1---M1_x_x_x_x_x_SamplerP3Offset
16,M2,COMP,x,x,x,x,x,dqrx_vrefctrl,ddrcomp_dqs_vref_ctl,M2_x_x_x_x_x_DqrxVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_16,&---M2---COMP---x---x---x---x---x---dqrx_vrefctrl---ddrcomp_dqs_vref_ctl---M2_x_x_x_x_x_DqrxVrefctrl
17,M2,COMP,x,x,x,x,x,Rdac_preampVoutcm,ddrcomp_rxRdac_ctl1,M2_x_x_x_x_x_RdacPreampVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_17,&---M2---COMP---x---x---x---x---x---Rdac_preampVoutcm---ddrcomp_rxRdac_ctl1---M2_x_x_x_x_x_RdacPreampVoutcm
18,M2,COMP,x,x,x,x,x,RdacSumVoutcm,ddrcomp_rxRdac_ctl1,M2_x_x_x_x_x_RdacSumVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_18,&---M2---COMP---x---x---x---x---x---RdacSumVoutcm---ddrcomp_rxRdac_ctl1---M2_x_x_x_x_x_RdacSumVoutcm
19,M2,COMP,x,x,x,x,x,SumOffsetTune,ddrcomp_rxSum_ctl1,M2_x_x_x_x_x_SumOffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_19,&---M2---COMP---x---x---x---x---x---SumOffsetTune---ddrcomp_rxSum_ctl1---M2_x_x_x_x_x_SumOffsetTune
20,M2,COMP,x,x,x,x,x,SamplerP0Offset,ddrcomp_SamplerOffset0,M2_x_x_x_x_x_SamplerP0Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_20,&---M2---COMP---x---x---x---x---x---SamplerP0Offset---ddrcomp_SamplerOffset0---M2_x_x_x_x_x_SamplerP0Offset
21,M2,COMP,x,x,x,x,x,SamplerP1Offset,ddrcomp_SamplerOffset0,M2_x_x_x_x_x_SamplerP1Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_21,&---M2---COMP---x---x---x---x---x---SamplerP1Offset---ddrcomp_SamplerOffset0---M2_x_x_x_x_x_SamplerP1Offset
22,M2,COMP,x,x,x,x,x,SamplerP2Offset,ddrcomp_SamplerOffset1,M2_x_x_x_x_x_SamplerP2Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_22,&---M2---COMP---x---x---x---x---x---SamplerP2Offset---ddrcomp_SamplerOffset1---M2_x_x_x_x_x_SamplerP2Offset
23,M2,COMP,x,x,x,x,x,SamplerP3Offset,ddrcomp_SamplerOffset1,M2_x_x_x_x_x_SamplerP3Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_23,&---M2---COMP---x---x---x---x---x---SamplerP3Offset---ddrcomp_SamplerOffset1---M2_x_x_x_x_x_SamplerP3Offset
24,M3,COMP,x,x,x,x,x,dqrx_vrefctrl,ddrcomp_dqs_vref_ctl,M3_x_x_x_x_x_DqrxVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_24,&---M3---COMP---x---x---x---x---x---dqrx_vrefctrl---ddrcomp_dqs_vref_ctl---M3_x_x_x_x_x_DqrxVrefctrl
25,M3,COMP,x,x,x,x,x,Rdac_preampVoutcm,ddrcomp_rxRdac_ctl1,M3_x_x_x_x_x_RdacPreampVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_25,&---M3---COMP---x---x---x---x---x---Rdac_preampVoutcm---ddrcomp_rxRdac_ctl1---M3_x_x_x_x_x_RdacPreampVoutcm
26,M3,COMP,x,x,x,x,x,RdacSumVoutcm,ddrcomp_rxRdac_ctl1,M3_x_x_x_x_x_RdacSumVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_26,&---M3---COMP---x---x---x---x---x---RdacSumVoutcm---ddrcomp_rxRdac_ctl1---M3_x_x_x_x_x_RdacSumVoutcm
27,M3,COMP,x,x,x,x,x,SumOffsetTune,ddrcomp_rxSum_ctl1,M3_x_x_x_x_x_SumOffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_27,&---M3---COMP---x---x---x---x---x---SumOffsetTune---ddrcomp_rxSum_ctl1---M3_x_x_x_x_x_SumOffsetTune
28,M3,COMP,x,x,x,x,x,SamplerP0Offset,ddrcomp_SamplerOffset0,M3_x_x_x_x_x_SamplerP0Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_28,&---M3---COMP---x---x---x---x---x---SamplerP0Offset---ddrcomp_SamplerOffset0---M3_x_x_x_x_x_SamplerP0Offset
29,M3,COMP,x,x,x,x,x,SamplerP1Offset,ddrcomp_SamplerOffset0,M3_x_x_x_x_x_SamplerP1Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_29,&---M3---COMP---x---x---x---x---x---SamplerP1Offset---ddrcomp_SamplerOffset0---M3_x_x_x_x_x_SamplerP1Offset
30,M3,COMP,x,x,x,x,x,SamplerP2Offset,ddrcomp_SamplerOffset1,M3_x_x_x_x_x_SamplerP2Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_30,&---M3---COMP---x---x---x---x---x---SamplerP2Offset---ddrcomp_SamplerOffset1---M3_x_x_x_x_x_SamplerP2Offset
31,M3,COMP,x,x,x,x,x,SamplerP3Offset,ddrcomp_SamplerOffset1,M3_x_x_x_x_x_SamplerP3Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_31,&---M3---COMP---x---x---x---x---x---SamplerP3Offset---ddrcomp_SamplerOffset1---M3_x_x_x_x_x_SamplerP3Offset
32,M4,COMP,x,x,x,x,x,dqrx_vrefctrl,ddrcomp_dqs_vref_ctl,M4_x_x_x_x_x_DqrxVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_32,&---M4---COMP---x---x---x---x---x---dqrx_vrefctrl---ddrcomp_dqs_vref_ctl---M4_x_x_x_x_x_DqrxVrefctrl
33,M4,COMP,x,x,x,x,x,Rdac_preampVoutcm,ddrcomp_rxRdac_ctl1,M4_x_x_x_x_x_RdacPreampVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_33,&---M4---COMP---x---x---x---x---x---Rdac_preampVoutcm---ddrcomp_rxRdac_ctl1---M4_x_x_x_x_x_RdacPreampVoutcm
34,M4,COMP,x,x,x,x,x,RdacSumVoutcm,ddrcomp_rxRdac_ctl1,M4_x_x_x_x_x_RdacSumVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_34,&---M4---COMP---x---x---x---x---x---RdacSumVoutcm---ddrcomp_rxRdac_ctl1---M4_x_x_x_x_x_RdacSumVoutcm
35,M4,COMP,x,x,x,x,x,SumOffsetTune,ddrcomp_rxSum_ctl1,M4_x_x_x_x_x_SumOffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_35,&---M4---COMP---x---x---x---x---x---SumOffsetTune---ddrcomp_rxSum_ctl1---M4_x_x_x_x_x_SumOffsetTune
36,M4,COMP,x,x,x,x,x,SamplerP0Offset,ddrcomp_SamplerOffset0,M4_x_x_x_x_x_SamplerP0Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_36,&---M4---COMP---x---x---x---x---x---SamplerP0Offset---ddrcomp_SamplerOffset0---M4_x_x_x_x_x_SamplerP0Offset
37,M4,COMP,x,x,x,x,x,SamplerP1Offset,ddrcomp_SamplerOffset0,M4_x_x_x_x_x_SamplerP1Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_37,&---M4---COMP---x---x---x---x---x---SamplerP1Offset---ddrcomp_SamplerOffset0---M4_x_x_x_x_x_SamplerP1Offset
38,M4,COMP,x,x,x,x,x,SamplerP2Offset,ddrcomp_SamplerOffset1,M4_x_x_x_x_x_SamplerP2Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_38,&---M4---COMP---x---x---x---x---x---SamplerP2Offset---ddrcomp_SamplerOffset1---M4_x_x_x_x_x_SamplerP2Offset
39,M4,COMP,x,x,x,x,x,SamplerP3Offset,ddrcomp_SamplerOffset1,M4_x_x_x_x_x_SamplerP3Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_39,&---M4---COMP---x---x---x---x---x---SamplerP3Offset---ddrcomp_SamplerOffset1---M4_x_x_x_x_x_SamplerP3Offset
40,M5,COMP,x,x,x,x,x,dqrx_vrefctrl,ddrcomp_dqs_vref_ctl,M5_x_x_x_x_x_DqrxVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_40,&---M5---COMP---x---x---x---x---x---dqrx_vrefctrl---ddrcomp_dqs_vref_ctl---M5_x_x_x_x_x_DqrxVrefctrl
41,M5,COMP,x,x,x,x,x,Rdac_preampVoutcm,ddrcomp_rxRdac_ctl1,M5_x_x_x_x_x_RdacPreampVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_41,&---M5---COMP---x---x---x---x---x---Rdac_preampVoutcm---ddrcomp_rxRdac_ctl1---M5_x_x_x_x_x_RdacPreampVoutcm
42,M5,COMP,x,x,x,x,x,RdacSumVoutcm,ddrcomp_rxRdac_ctl1,M5_x_x_x_x_x_RdacSumVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_42,&---M5---COMP---x---x---x---x---x---RdacSumVoutcm---ddrcomp_rxRdac_ctl1---M5_x_x_x_x_x_RdacSumVoutcm
43,M5,COMP,x,x,x,x,x,SumOffsetTune,ddrcomp_rxSum_ctl1,M5_x_x_x_x_x_SumOffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_43,&---M5---COMP---x---x---x---x---x---SumOffsetTune---ddrcomp_rxSum_ctl1---M5_x_x_x_x_x_SumOffsetTune
44,M5,COMP,x,x,x,x,x,SamplerP0Offset,ddrcomp_SamplerOffset0,M5_x_x_x_x_x_SamplerP0Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_44,&---M5---COMP---x---x---x---x---x---SamplerP0Offset---ddrcomp_SamplerOffset0---M5_x_x_x_x_x_SamplerP0Offset
45,M5,COMP,x,x,x,x,x,SamplerP1Offset,ddrcomp_SamplerOffset0,M5_x_x_x_x_x_SamplerP1Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_45,&---M5---COMP---x---x---x---x---x---SamplerP1Offset---ddrcomp_SamplerOffset0---M5_x_x_x_x_x_SamplerP1Offset
46,M5,COMP,x,x,x,x,x,SamplerP2Offset,ddrcomp_SamplerOffset1,M5_x_x_x_x_x_SamplerP2Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_46,&---M5---COMP---x---x---x---x---x---SamplerP2Offset---ddrcomp_SamplerOffset1---M5_x_x_x_x_x_SamplerP2Offset
47,M5,COMP,x,x,x,x,x,SamplerP3Offset,ddrcomp_SamplerOffset1,M5_x_x_x_x_x_SamplerP3Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_47,&---M5---COMP---x---x---x---x---x---SamplerP3Offset---ddrcomp_SamplerOffset1---M5_x_x_x_x_x_SamplerP3Offset
